system:index,CLOUD_COVERAGE_ASSESSMENT
COPERNICUS/S2/20160104T081332_20160104T082038_T35MQT,56
COPERNICUS/S2/20160104T081332_20160104T082038_T35MRT,51
COPERNICUS/S2/20160104T083120_20160104T120805_T35MQT,56.385
COPERNICUS/S2/20160104T083120_20160104T120805_T35MRT,56.385
COPERNICUS/S2/20160114T081542_20160114T082227_T35MQT,99
COPERNICUS/S2/20160114T081542_20160114T082227_T35MRT,100
COPERNICUS/S2/20160114T083309_20160114T121047_T35MQT,75.769
COPERNICUS/S2/20160114T083309_20160114T121047_T35MRT,75.769
COPERNICUS/S2/20160124T081222_20160124T081224_T35MQT,5.059
COPERNICUS/S2/20160124T081222_20160124T081224_T35MRT,9.185
COPERNICUS/S2/20160124T081224_20160124T120244_T35MQT,36.216
COPERNICUS/S2/20160124T081224_20160124T120244_T35MRT,36.216
COPERNICUS/S2/20160203T081132_20160203T082822_T35MQT,65.619
COPERNICUS/S2/20160203T081132_20160203T082822_T35MRT,81.835
COPERNICUS/S2/20160203T082822_20160203T134646_T35MQT,86.37
COPERNICUS/S2/20160203T082822_20160203T134646_T35MRT,86.37
COPERNICUS/S2/20160213T081042_20160213T082324_T35MQT,56.553
COPERNICUS/S2/20160213T081042_20160213T082324_T35MRT,46.221
COPERNICUS/S2/20160213T082324_20160213T135037_T35MQT,61.972
COPERNICUS/S2/20160213T082324_20160213T135037_T35MRT,61.972
COPERNICUS/S2/20160304T080822_20160304T082822_T35MQT,81.701
COPERNICUS/S2/20160304T080822_20160304T082822_T35MRT,86.624
COPERNICUS/S2/20160304T082822_20160304T154432_T35MQT,58.984
COPERNICUS/S2/20160304T082822_20160304T154432_T35MRT,58.984
COPERNICUS/S2/20160314T081002_20160314T082117_T35MQT,93.449
COPERNICUS/S2/20160314T081002_20160314T082117_T35MRT,80.32
COPERNICUS/S2/20160314T082117_20160314T135640_T35MQT,51.549
COPERNICUS/S2/20160314T082117_20160314T135640_T35MRT,51.549
COPERNICUS/S2/20160324T081002_20160324T082216_T35MQT,13.338
COPERNICUS/S2/20160324T081002_20160324T082216_T35MRT,28.188
COPERNICUS/S2/20160324T082216_20160324T134536_T35MQT,69.777
COPERNICUS/S2/20160324T082216_20160324T134536_T35MRT,69.777
COPERNICUS/S2/20160403T080542_20160403T082619_T35MQT,99.502
COPERNICUS/S2/20160403T080542_20160403T082619_T35MRT,99.971
COPERNICUS/S2/20160403T082619_20160403T115822_T35MQT,99.54
COPERNICUS/S2/20160403T082619_20160403T115822_T35MRT,99.54
COPERNICUS/S2/20160413T081002_20160413T082739_T35MQT,44.44
COPERNICUS/S2/20160413T081002_20160413T082739_T35MRT,40.353
COPERNICUS/S2/20160413T082739_20160413T115726_T35MQT,58.344
COPERNICUS/S2/20160413T082739_20160413T115726_T35MRT,58.344
COPERNICUS/S2/20160423T081002_20160423T082623_T35MQT,81.511
COPERNICUS/S2/20160423T081002_20160423T082623_T35MRT,47.33
COPERNICUS/S2/20160423T082623_20160423T115135_T35MQT,50.124
COPERNICUS/S2/20160423T082623_20160423T115135_T35MRT,50.124
COPERNICUS/S2/20160503T080612_20160503T082019_T35MQT,46.794
COPERNICUS/S2/20160503T080612_20160503T082019_T35MRT,56.058
COPERNICUS/S2/20160503T082019_20160503T133307_T35MQT,46.664
COPERNICUS/S2/20160503T082019_20160503T133307_T35MRT,46.664
COPERNICUS/S2/20160513T081012_20160513T082745_T35MQT,35.867
COPERNICUS/S2/20160513T081012_20160513T082745_T35MRT,23.717
COPERNICUS/S2/20160513T082745_20160513T115135_T35MQT,19.586
COPERNICUS/S2/20160513T082745_20160513T115135_T35MRT,19.586
COPERNICUS/S2/20160523T080612_20160523T082707_T35MQT,50.492
COPERNICUS/S2/20160523T080612_20160523T082707_T35MRT,49.2
COPERNICUS/S2/20160523T082707_20160523T115650_T35MQT,39.558
COPERNICUS/S2/20160523T082707_20160523T115650_T35MRT,39.558
COPERNICUS/S2/20160602T081012_20160602T082521_T35MQT,42.676
COPERNICUS/S2/20160602T081012_20160602T082521_T35MRT,26.925
COPERNICUS/S2/20160602T081012_20160602T115109_T35MQT,15.098
COPERNICUS/S2/20160602T081012_20160602T115109_T35MRT,15.098
COPERNICUS/S2/20160612T080612_20160612T082523_T35MQT,18.42
COPERNICUS/S2/20160612T080612_20160612T082523_T35MRT,2.484
COPERNICUS/S2/20160612T082523_20160612T115644_T35MQT,13.277
COPERNICUS/S2/20160612T082523_20160612T115644_T35MRT,13.277
COPERNICUS/S2/20160622T081002_20160622T082224_T35MQT,87.197
COPERNICUS/S2/20160622T081002_20160622T082224_T35MRT,83.976
COPERNICUS/S2/20160622T082224_20160622T134212_T35MQT,62.342
COPERNICUS/S2/20160622T082224_20160622T134212_T35MRT,62.342
COPERNICUS/S2/20160702T080612_20160702T082522_T35MQT,0.007
COPERNICUS/S2/20160702T080612_20160702T082522_T35MRT,0
COPERNICUS/S2/20160702T082522_20160702T115814_T35MQT,1.457
COPERNICUS/S2/20160702T082522_20160702T115814_T35MRT,1.457
COPERNICUS/S2/20160712T082816_20160712T115623_T35MQT,72.972
COPERNICUS/S2/20160712T082816_20160712T115623_T35MRT,72.972
COPERNICUS/S2/20160722T080612_20160722T082655_T35MQT,14.145
COPERNICUS/S2/20160722T082655_20160722T115748_T35MQT,41.449
COPERNICUS/S2/20160722T082655_20160722T115748_T35MRT,41.449
COPERNICUS/S2/20160801T081012_20160801T082958_T35MQT,10.284
COPERNICUS/S2/20160801T081012_20160801T082958_T35MRT,28.51
COPERNICUS/S2/20160801T082958_20160801T115729_T35MQT,37.75
COPERNICUS/S2/20160801T082958_20160801T115729_T35MRT,37.75
COPERNICUS/S2/20160811T080612_20160811T082534_T35MQT,1.035
COPERNICUS/S2/20160811T080612_20160811T082534_T35MRT,0
COPERNICUS/S2/20160811T080612_20160811T115739_T35MQT,1.037
COPERNICUS/S2/20160811T080612_20160811T115739_T35MRT,1.037
COPERNICUS/S2/20160821T081002_20160821T082952_T35MQT,0.338
COPERNICUS/S2/20160821T081002_20160821T082952_T35MRT,0
COPERNICUS/S2/20160821T081002_20160821T115725_T35MQT,5.381
COPERNICUS/S2/20160821T081002_20160821T115725_T35MRT,5.381
COPERNICUS/S2/20160831T080612_20160831T082520_T35MQT,2.989
COPERNICUS/S2/20160831T080612_20160831T082520_T35MRT,0.002
COPERNICUS/S2/20160831T080612_20160831T115736_T35MQT,8.306
COPERNICUS/S2/20160831T080612_20160831T115736_T35MRT,8.306
COPERNICUS/S2/20160910T081002_20160910T082509_T35MQT,26.437
COPERNICUS/S2/20160910T081002_20160910T082509_T35MRT,7.305
COPERNICUS/S2/20160910T081002_20160910T115131_T35MQT,53.364
COPERNICUS/S2/20160910T081002_20160910T115131_T35MRT,53.364
COPERNICUS/S2/20160920T080612_20160920T082528_T35MQT,12.952
COPERNICUS/S2/20160920T080612_20160920T082528_T35MRT,2.112
COPERNICUS/S2/20160920T080612_20160920T115751_T35MQT,17.69
COPERNICUS/S2/20160920T080612_20160920T115751_T35MRT,17.69
COPERNICUS/S2/20160930T081002_20160930T082540_T35MQT,23.872
COPERNICUS/S2/20160930T081002_20160930T082540_T35MRT,32.368
COPERNICUS/S2/20160930T081002_20160930T115144_T35MQT,23.872
COPERNICUS/S2/20160930T081002_20160930T115144_T35MRT,32.368
COPERNICUS/S2/20161010T080842_20161010T082711_T35MQT,97.417
COPERNICUS/S2/20161010T080842_20161010T082711_T35MRT,97.564
COPERNICUS/S2/20161010T080842_20161010T115736_T35MQT,97.417
COPERNICUS/S2/20161010T080842_20161010T115736_T35MRT,97.564
COPERNICUS/S2/20161020T081002_20161020T082713_T35MQT,77.463
COPERNICUS/S2/20161020T081002_20161020T082713_T35MRT,12.732
COPERNICUS/S2/20161020T081002_20161020T133339_T35MQT,77.463
COPERNICUS/S2/20161020T081002_20161020T133339_T35MRT,12.732
COPERNICUS/S2/20161030T081042_20161030T083032_T35MQT,87.031
COPERNICUS/S2/20161030T081042_20161030T083032_T35MRT,87.165
COPERNICUS/S2/20161030T081042_20161030T133508_T35MQT,87.031
COPERNICUS/S2/20161030T081042_20161030T133508_T35MRT,87.165
COPERNICUS/S2/20161109T081142_20161109T083015_T35MQT,47.198
COPERNICUS/S2/20161109T081142_20161109T083015_T35MRT,79.95
COPERNICUS/S2/20161109T081142_20161109T115131_T35MQT,47.198
COPERNICUS/S2/20161109T081142_20161109T115131_T35MRT,79.95
COPERNICUS/S2/20161119T081232_20161119T083004_T35MQT,80.22
COPERNICUS/S2/20161119T081232_20161119T083004_T35MRT,99.601
COPERNICUS/S2/20161119T081232_20161119T133501_T35MQT,80.22
COPERNICUS/S2/20161119T081232_20161119T133501_T35MRT,99.601
COPERNICUS/S2/20161129T081302_20161129T082536_T35MQT,73.652
COPERNICUS/S2/20161129T081302_20161129T082536_T35MRT,80.718
COPERNICUS/S2/20161129T081302_20161129T115139_T35MQT,73.652
COPERNICUS/S2/20161129T081302_20161129T115139_T35MRT,80.718
