doy,2016,2017,2018,2019,2020
1,"5,037.811","5,067.483","6,010.529","6,387.439","6,766.395"
17,"6,674.003","4,816.748","5,890.714","5,952.206","6,677.764"
33,"5,983.289","5,074.104","5,668.749","5,972.348","6,243.935"
49,"5,875.889","4,919.957","5,849.619","2,516.589","6,719.139"
65,"6,058.95","5,441.529","5,957.809","5,911.451","6,132.297"
81,"5,478.3","5,478.3","5,990.992","6,617.322","6,019.703"
97,"6,282.529","5,817.967","6,546.474","6,435.908","5,674.605"
113,"6,343.182","4,780.849","7,024.174","5,528.846","6,042.688"
129,"6,730.48","6,533.481","6,068.441","4,656.666","4,785.098"
145,"6,600.993","6,313.957","6,870.021","4,144.284","6,493.217"
161,"5,899.377","5,818.666","6,552.522","6,709.566","6,460.119"
177,"5,501.196","4,990.396","5,667.285","6,683.509","5,537.588"
193,"4,830.364","4,716.762","5,132.193","6,076.58","5,115.493"
209,"4,695.369","4,470.962","5,088.645","5,948.507","4,752.997"
225,"4,366.239","4,135.412","4,644.536","5,326.241","4,396.85"
241,"3,921.473","3,940.788","5,457.889","5,060.083","4,582.583"
257,"3,965.538","4,094.934","5,291.359","5,020.345","4,681.34"
273,"4,460.738","4,003.597","4,882.202","4,777.407","5,013.588"
289,"4,773.947","4,815.329","5,347.323","3,264.395","4,346.302"
305,"5,389.944","5,947.764","5,984.238","5,937.894","5,146.013"
321,"6,489.895","6,487.355","5,962.026","5,132.035","6,615.939"
337,"6,490.13","6,664.025","6,117.859","5,806.533","6,780.906"
353,"5,972.355","6,029.058","6,412.845","6,743.548","6,401.957"
